epoch,loss,plate_acc,plate_char_acc,plate_len_acc,plate_loss,plate_top3_acc,region_acc,region_loss,region_macro_f1,region_top3_acc,val_loss,val_plate_acc,val_plate_char_acc,val_plate_len_acc,val_plate_loss,val_plate_top3_acc,val_region_acc,val_region_loss,val_region_macro_f1,val_region_top3_acc
0,0.32076892256736755,0.7303602695465088,0.9422699213027954,0.8789013624191284,0.35644763708114624,0.9742105603218079,1.0,3.139232518378776e-08,0.01515151560306549,1.0,0.10205885767936707,0.968433678150177,0.995416522026062,0.9936023354530334,0.11339051276445389,0.9989174008369446,1.0,5.866598873360829e-11,0.01515151560306549,1.0
1,0.11534862965345383,0.9403458833694458,0.9915742874145508,0.991352915763855,0.1281626671552658,0.9982767701148987,1.0,9.603547290737424e-09,0.01515151560306549,1.0,0.09131882339715958,0.9901574850082397,0.99832683801651,0.998031497001648,0.10145825147628784,0.9997047185897827,1.0,1.1733197746721657e-10,0.01515151560306549,1.0
2,0.10579609870910645,0.960595428943634,0.9941298365592957,0.9947460889816284,0.11754931509494781,0.998708963394165,1.0,8.730237865961499e-09,0.01515151560306549,1.0,0.09072327613830566,0.9901574850082397,0.9982284307479858,0.9970472455024719,0.10079619288444519,0.9995571374893188,1.0,9.386551536039178e-10,0.01515151560306549,1.0
3,0.10075496137142181,0.9703918695449829,0.9957284927368164,0.9962784647941589,0.11194872856140137,0.9989772439002991,1.0,7.548437430671129e-09,0.01515151560306549,1.0,0.08748997002840042,0.9931102395057678,0.998966634273529,0.9985235929489136,0.09720676392316818,0.999655544757843,1.0,5.86659665291478e-10,0.01515151560306549,1.0
4,0.09854690730571747,0.9738866686820984,0.9960553646087646,0.997208833694458,0.10949794203042984,0.9990700483322144,1.0,6.6425118738777655e-09,0.01515151560306549,1.0,0.08774860203266144,0.9940944910049438,0.9989174008369446,0.9985235929489136,0.09749379754066467,0.999655544757843,1.0,4.1066181011295555e-10,0.01515151560306549,1.0
5,0.09722287207841873,0.9770687222480774,0.9965378046035767,0.9967710375785828,0.1080242320895195,0.9991138577461243,1.0,4.990967639173505e-09,0.01515151560306549,1.0,0.08680067211389542,0.9945865869522095,0.9991635084152222,0.9985235929489136,0.09644120186567307,0.9997047185897827,1.0,4.1066181011295555e-10,0.01515151560306549,1.0
6,0.09520561993122101,0.9796409606933594,0.9969757199287415,0.9975371956825256,0.1057833582162857,0.9993325471878052,1.0,2.805384369253261e-09,0.01515151560306549,1.0,0.08635564893484116,0.9950787425041199,0.9991634488105774,0.9985235929489136,0.09594724327325821,0.9997047185897827,1.0,1.759977608095653e-09,0.01515151560306549,1.0
7,0.0945618525147438,0.9818848371505737,0.997200071811676,0.9979203343391418,0.10506770759820938,0.9992232322692871,1.0,3.151162886183556e-09,0.01515151560306549,1.0,0.08698335289955139,0.9950787425041199,0.999015748500824,0.9985235929489136,0.09664369374513626,0.9997047185897827,1.0,8.799893036481876e-10,0.01515151560306549,1.0
8,0.09357716143131256,0.9826510548591614,0.9974187016487122,0.9979203343391418,0.10397423803806305,0.9993216395378113,1.0,3.3273137578504475e-09,0.01515151560306549,1.0,0.08755297213792801,0.9955708384513855,0.9989174008369446,0.9985235929489136,0.09727590531110764,0.9995571374893188,1.0,9.386552646262203e-10,0.01515151560306549,1.0
9,0.09255385398864746,0.9843945503234863,0.9978064894676208,0.9978655576705933,0.10283935070037842,0.999535322189331,1.0,3.1409084222389083e-09,0.01515151560306549,1.0,0.0869150385260582,0.9950787425041199,0.9989666938781738,0.9985235929489136,0.09656760841608047,0.9996063113212585,1.0,1.466648580361607e-09,0.01515151560306549,1.0
10,0.09283920377492905,0.9834719896316528,0.9976102113723755,0.9979203343391418,0.10315394401550293,0.9995078444480896,1.0,2.6096591554392035e-09,0.01515151560306549,1.0,0.08596659451723099,0.9950787425041199,0.9992126822471619,0.999015748500824,0.09551484137773514,0.9997047185897827,1.0,1.877309196984811e-09,0.01515151560306549,1.0
11,0.09245572984218597,0.9853875041007996,0.9978505969047546,0.9981392025947571,0.10272789746522903,0.9993873834609985,1.0,2.0029136127419633e-09,0.01515151560306549,1.0,0.08591406047344208,0.9960629940032959,0.9992619156837463,0.999015748500824,0.09545642882585526,0.9997047185897827,1.0,1.4079823973389693e-09,0.01515151560306549,1.0
12,0.09220805764198303,0.9854969382286072,0.9977961182594299,0.9984676241874695,0.10245368629693985,0.9994586110115051,1.0,2.2964987689277905e-09,0.01515151560306549,1.0,0.08584348112344742,0.9960629940032959,0.9992619156837463,0.999015748500824,0.095378078520298,0.9997539520263672,1.0,1.7013118691622253e-09,0.01515151560306549,1.0
13,0.0920400395989418,0.9849496483802795,0.9978343844413757,0.9990149140357971,0.10226590186357498,0.9995567202568054,1.0,3.3403599886128177e-09,0.01515151560306549,1.0,0.08586647361516953,0.9960629940032959,0.9992619156837463,0.999015748500824,0.09540356695652008,0.9997047185897827,1.0,1.6426459081841926e-09,0.01515151560306549,1.0
14,0.0923701673746109,0.9857627749443054,0.9977295398712158,0.9983581304550171,0.10263676941394806,0.9994357228279114,1.0,1.5396989239135905e-09,0.01515151560306549,1.0,0.085860475897789,0.9960629940032959,0.9992619156837463,0.999015748500824,0.09539695084095001,0.9997047185897827,1.0,1.5839800582284624e-09,0.01515151560306549,1.0
