epoch,acc,char_acc,len_acc,loss,top3_acc,val_acc,val_char_acc,val_len_acc,val_loss,val_top3_acc
0,0.7864999771118164,0.9561001658439636,0.9925000071525574,0.2638552188873291,0.9843002557754517,0.9375,0.9891446828842163,0.9967105388641357,0.16432176530361176,0.9960525631904602
1,0.8610000014305115,0.972550094127655,0.9984999895095825,0.19802521169185638,0.990200400352478,0.9638158082962036,0.9950658082962036,1.0,0.13073736429214478,0.9993420839309692
2,0.8834999799728394,0.9770501852035522,0.9994999766349792,0.17785777151584625,0.9918503761291504,0.8881579041481018,0.9871710538864136,1.0,0.13828922808170319,0.9993420839309692
3,0.8995000123977661,0.9813000559806824,0.9990000128746033,0.16435891389846802,0.9939500689506531,0.8717105388641357,0.9865131378173828,1.0,0.14002500474452972,1.0
4,0.9035000205039978,0.9843004941940308,1.0,0.15185247361660004,0.9955002665519714,0.8914473652839661,0.9884868264198303,1.0,0.13525895774364471,0.9996710419654846
5,0.9259999990463257,0.9873003363609314,1.0,0.14372766017913818,0.9956501126289368,0.8881579041481018,0.9878290295600891,1.0,0.14437304437160492,0.9993420839309692
6,0.9259999990463257,0.9865003824234009,1.0,0.14418475329875946,0.9953001141548157,0.8914473652839661,0.9884868264198303,1.0,0.1362358182668686,0.9990131855010986
7,0.940500020980835,0.9900003671646118,1.0,0.13470759987831116,0.9970501065254211,0.8980262875556946,0.9884868264198303,1.0,0.13039913773536682,0.9990131855010986
8,0.9455000162124634,0.9903503656387329,1.0,0.13350394368171692,0.9965002536773682,0.8848684430122375,0.9871710538864136,1.0,0.13418623805046082,0.9993420839309692
9,0.9585000276565552,0.9935002326965332,1.0,0.12374743074178696,0.998150110244751,0.875,0.9861841797828674,1.0,0.13600946962833405,0.9990131855010986
